Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,SSIM Overhead (indice),"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,4.74,0.04,0.0,1.52,,5,403,21,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,1,1.18,0.31,0.0,0.87,,5,225,22,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,1,0.52,0.25,0.0,28.61,,5,11,21,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,1,1.05,0.18,0.0,41.4,,3,18,21,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,1,5.73,0.2,0.0,3.71,43.48,3,275,21,MLP,IID,AG_NEWS,0.34,0.8909,0.8204,0.1686,1.14,0.6828,0.626,0.5571,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.2
Client 1,2,5.04,0.04,0.0,1.53,,5,396,25,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,2,1.29,0.26,0.0,0.71,,5,209,25,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,2,1.34,0.25,0.0,29.7,,5,17,26,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,2,2.17,0.11,0.0,28.97,,3,27,25,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,2,7.5,0.2,0.0,4.11,32.22,3,284,25,MLP,IID,AG_NEWS,0.19,0.9421,0.9129,0.092,1.06,0.7411,0.6909,0.4664,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.22
Client 1,3,4.42,0.04,0.0,1.51,,5,351,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,3,1.67,0.3,0.0,0.78,,5,204,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,3,1.66,0.19,0.0,32.86,,5,19,30,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,3,2.04,0.26,0.0,48.02,,3,17,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,3,7.9,0.2,0.0,3.91,51.75,3,277,29,MLP,IID,AG_NEWS,0.14,0.9574,0.9335,0.0664,1.01,0.7573,0.7082,0.4132,,"{OFF,OFF,ON,OFF,OFF,OFF}",0.22
Client 1,4,6.57,0.04,0.0,1.42,,5,346,31,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,4,2.48,0.32,0.0,1.19,,5,225,31,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,4,3.66,0.19,0.0,43.42,,5,31,32,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,4,2.46,0.22,0.0,22.2,,3,35,31,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,4,7.29,0.2,0.0,3.41,48.27,3,265,30,MLP,IID,AG_NEWS,0.12,0.9639,0.9409,0.0576,1.01,0.7617,0.7119,0.3939,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.22
Client 1,5,7.51,0.04,0.0,1.92,,5,329,32,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,5,5.3,0.35,0.0,1.71,,5,255,32,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,5,3.35,0.23,0.0,49.58,,5,23,32,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,5,2.58,0.22,0.0,50.8,,3,20,33,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,5,6.19,0.2,0.0,1.88,54.87,3,252,32,MLP,IID,AG_NEWS,0.1,0.9688,0.9433,0.0495,1.05,0.7579,0.7106,0.4213,,"{ON,OFF,ON,OFF,OFF,OFF}",0.21
Client 1,6,7.98,0.04,0.0,1.34,,5,299,32,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,6,4.77,0.37,0.0,1.74,,5,221,33,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,6,3.87,0.25,0.0,21.79,,5,52,33,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,6,4.74,0.21,0.0,25.09,,3,55,33,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,6,7.29,0.2,0.0,2.32,30.87,3,246,34,MLP,IID,AG_NEWS,0.09,0.9719,0.9113,0.0457,1.04,0.7596,0.7129,0.419,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.22
